时间,小区名称,小区上行平均激活用户数,小区下行平均激活用户数,下行平均使用的PRB个数,上行平均使用的PRB个数
2024/11/1 0:00,777,3.0352,8.8810,74.2405,24.7899
2024/11/1 1:00,777,2.7118,7.7076,65.2536,22.3799
2024/11/1 2:00,777,2.0538,6.2068,41.8511,19.3139
2024/11/1 3:00,777,2.2604,6.7889,44.9841,20.4232
2024/11/1 4:00,777,2.5334,7.3082,43.7152,20.4355
2024/11/1 5:00,777,1.0930,3.0939,24.4277,14.0505
2024/11/1 6:00,777,1.2221,3.9035,27.5290,14.4485
2024/11/1 7:00,777,2.3891,7.3664,48.1733,21.1177
2024/11/1 8:00,777,3.7830,11.5876,66.0800,25.8994
2024/11/1 9:00,777,3.8585,12.3201,63.0859,27.2106
2024/11/1 10:00,777,4.3443,13.7833,66.1089,29.3883
2024/11/1 11:00,777,5.1238,14.6212,83.3720,33.6423
2024/11/1 12:00,777,5.1754,14.2009,91.9210,31.8981
2024/11/1 13:00,777,3.8335,11.0308,64.9951,26.5061
2024/11/1 14:00,777,3.8644,11.9446,63.6466,26.2517
2024/11/1 15:00,777,3.9118,12.3686,74.4203,25.8683
2024/11/1 16:00,777,4.2031,13.1814,79.1208,27.5776
2024/11/1 17:00,777,4.4628,13.2012,75.4049,29.7298
2024/11/1 18:00,777,4.9726,13.2627,80.2658,32.4361
2024/11/1 19:00,777,5.5365,14.2870,84.8504,35.3315
2024/11/1 20:00,777,6.1758,15.6165,93.6977,36.6732
2024/11/1 21:00,777,5.9752,15.4935,101.1140,34.6005
2024/11/1 22:00,777,5.1788,13.8693,94.8260,30.8813
2024/11/1 23:00,777,3.5084,10.4935,77.4380,26.0288
2024/11/16 0:00,777,2.7399,8.3329,60.8069,20.6634
2024/11/16 1:00,777,2.2059,6.5952,45.6595,18.1858
2024/11/16 2:00,777,1.6326,4.8645,32.4926,15.7629
2024/11/16 3:00,777,2.0580,5.3145,33.7450,17.8105
2024/11/16 4:00,777,2.0419,5.1162,29.3475,17.6289
2024/11/16 5:00,777,1.0733,2.9200,20.6158,13.6921
2024/11/16 6:00,777,1.2767,3.8567,25.3034,14.9441
2024/11/16 7:00,777,2.2929,6.6048,44.2210,20.0726
2024/11/16 8:00,777,3.7375,11.3099,64.8391,27.0629
2024/11/16 9:00,777,4.0225,12.7890,63.9217,28.0938
2024/11/16 10:00,777,4.4905,14.5253,73.4858,30.3989
2024/11/16 11:00,777,5.0711,15.1363,86.6017,33.1690
2024/11/16 12:00,777,5.0787,14.4357,91.3360,31.7052
2024/11/16 13:00,777,3.6627,10.9693,62.3336,26.9466
2024/11/16 14:00,777,3.6601,11.5908,63.0690,25.5674
2024/11/16 15:00,777,3.6494,11.8314,57.8196,25.2736
2024/11/16 16:00,777,3.7162,12.0843,63.8922,25.8618
2024/11/16 17:00,777,4.4288,13.6007,73.2604,30.1392
2024/11/16 18:00,777,4.6147,13.2483,74.6854,31.2906
2024/11/16 19:00,777,5.1862,14.5550,84.1727,33.9698
2024/11/16 20:00,777,5.4872,14.8346,89.0859,33.2654
2024/11/16 21:00,777,5.2471,14.1883,92.3343,34.4194
2024/11/16 22:00,777,5.3001,13.7162,93.3636,36.3233
2024/11/16 23:00,777,3.6999,11.0170,79.4999,27.3836
2024/11/1 0:00,779,0.8765,2.0621,42.2810,11.0741
2024/11/1 1:00,779,0.7756,1.8962,27.6001,10.1871
2024/11/1 2:00,779,0.1833,0.6273,6.4334,6.2584
2024/11/1 3:00,779,0.1908,0.4537,5.0734,6.1648
2024/11/1 4:00,779,0.1759,0.4015,4.6998,6.0742
2024/11/1 5:00,779,0.1729,0.3311,5.1279,6.3061
2024/11/1 6:00,779,0.2516,0.5172,9.4484,8.3166
2024/11/1 7:00,779,0.3292,0.7353,12.9703,8.9901
2024/11/1 8:00,779,0.2753,0.7296,11.1939,8.8070
2024/11/1 9:00,779,0.3487,0.9060,15.1081,9.0921
2024/11/1 10:00,779,0.4672,1.1163,17.9468,9.7792
2024/11/1 11:00,779,0.6729,1.4605,24.9434,10.7103
2024/11/1 12:00,779,0.7031,1.4403,27.5155,11.1975
2024/11/1 13:00,779,0.5967,1.2678,21.9549,10.4343
2024/11/1 14:00,779,0.6004,1.4357,23.1748,10.4717
2024/11/1 15:00,779,0.5709,1.3897,23.6214,10.4033
2024/11/1 16:00,779,0.6229,1.4091,26.4011,10.5396
2024/11/1 17:00,779,0.8093,1.7126,28.3455,10.9910
2024/11/1 18:00,779,1.0976,2.1129,38.9360,12.7579
2024/11/1 19:00,779,1.1305,2.2603,41.1229,12.5637
2024/11/1 20:00,779,1.2966,2.5260,50.6485,13.0271
2024/11/1 21:00,779,1.6150,2.9915,62.9214,14.2487
2024/11/1 22:00,779,1.2409,2.5679,57.5600,13.2896
2024/11/1 23:00,779,0.9697,2.1797,49.5662,11.9232
2024/11/16 0:00,779,0.6842,1.9882,32.9548,10.8154
2024/11/16 1:00,779,0.5026,1.4741,23.8092,10.2144
2024/11/16 2:00,779,0.3643,0.8655,13.3288,9.9248
2024/11/16 3:00,779,0.2499,0.5619,8.9916,9.0056
2024/11/16 4:00,779,0.1607,0.3513,5.9094,6.1770
2024/11/16 5:00,779,0.1607,0.3521,5.3554,6.0972
2024/11/16 6:00,779,0.1604,0.3942,7.4656,8.0408
2024/11/16 7:00,779,0.2005,0.5136,8.6930,8.5347
2024/11/16 8:00,779,0.3201,0.8714,12.3527,9.1310
2024/11/16 9:00,779,0.3854,1.0899,16.3905,9.5306
2024/11/16 10:00,779,0.6091,1.5986,26.3970,10.6660
2024/11/16 11:00,779,0.6363,1.6005,29.1636,10.7126
2024/11/16 12:00,779,0.7142,1.7645,32.1381,11.2696
2024/11/16 13:00,779,0.6932,1.7564,29.3996,11.6207
2024/11/16 14:00,779,0.7828,2.0628,28.6878,11.6534
2024/11/16 15:00,779,0.6520,1.7559,25.1352,10.9172
2024/11/16 16:00,779,0.7109,1.8528,23.4170,11.2342
2024/11/16 17:00,779,0.8114,2.0705,27.7454,11.8643
2024/11/16 18:00,779,1.1379,2.6418,37.7087,13.7033
2024/11/16 19:00,779,1.4155,3.4967,49.5307,14.7756
2024/11/16 20:00,779,1.3098,2.9064,46.8146,13.4004
2024/11/16 21:00,779,1.2785,2.9279,51.0368,13.6670
2024/11/16 22:00,779,1.2282,2.8952,49.0589,13.5911
2024/11/16 23:00,779,1.0450,2.5220,40.5345,12.6795
2024/11/1 0:00,829,1.7226,4.4923,44.6080,16.4240
2024/11/1 1:00,829,1.4254,3.7046,33.0557,14.3836
2024/11/1 2:00,829,1.0881,2.7956,23.9872,13.5165
2024/11/1 3:00,829,1.0187,2.6412,24.1627,13.4760
2024/11/1 4:00,829,1.0291,2.8276,22.9902,12.1409
2024/11/1 5:00,829,0.8848,2.3803,21.0493,11.5324
2024/11/1 6:00,829,0.7280,2.0174,15.3576,10.6852
2024/11/1 7:00,829,1.1777,3.3504,21.7448,12.3637
2024/11/1 8:00,829,1.5523,4.3891,26.4660,14.0777
2024/11/1 9:00,829,1.6374,4.4417,26.9451,14.9199
2024/11/1 10:00,829,1.6875,4.6093,28.6228,14.9053
2024/11/1 11:00,829,2.0005,5.2289,33.2660,16.2415
2024/11/1 12:00,829,2.1131,5.4755,40.6137,17.6155
2024/11/1 13:00,829,1.9406,5.0309,39.0529,16.0573
2024/11/1 14:00,829,2.1647,5.6856,39.8061,17.9364
2024/11/1 15:00,829,2.5519,6.6247,44.5404,18.8139
2024/11/1 16:00,829,2.6713,6.8843,42.7136,20.1461
2024/11/1 17:00,829,2.9803,7.5172,44.2453,20.5202
2024/11/1 18:00,829,3.1421,7.6339,50.6446,20.9281
2024/11/1 19:00,829,2.8344,6.7444,44.2287,20.4387
2024/11/1 20:00,829,2.8135,6.6664,44.3510,21.2054
